Training on device cuda:1
Preparing CID-SMILES dictionary ... 
Preparing CID-dscrptr dictionary ... 
Preparing datasets and dataloaders ... 
Training, validation, and testing ... 
Target Descriptor Name: MATS3v         , R2: 0.8189, MAE: 0.0292
Target Descriptor Name: VE1sign_D      , R2: 0.7536, MAE: 0.0387
Target Descriptor Name: MATS5s         , R2: 0.5766, MAE: 0.0574
Target Descriptor Name: MATS3s         , R2: 0.2157, MAE: 0.0865
Target Descriptor Name: VE1sign_Dt     , R2: 0.1352, MAE: 0.1034
Target Descriptor Name: VE3sign_D      , R2: 0.0523, MAE: 0.1236
Target Descriptor Name: MATS2e         , R2: 0.8348, MAE: 0.0279
Target Descriptor Name: SIC2           , R2: 0.7298, MAE: 0.0289
Target Descriptor Name: GATS8s         , R2: 0.8351, MAE: 0.0402
Target Descriptor Name: MATS4p         , R2: 0.6969, MAE: 0.0386
Target Descriptor Name: GATS8e         , R2: 0.6223, MAE: 0.0548
Target Descriptor Name: VE3sign_Dt     , R2: 0.3216, MAE: 0.0840
Target Descriptor Name: GATS4m         , R2: 0.1245, MAE: 0.1155
Target Descriptor Name: O%             , R2: 0.7759, MAE: 0.0334
Target Descriptor Name: MATS8p         , R2: 0.7216, MAE: 0.0394
Target Descriptor Name: GATS5e         , R2: 0.3961, MAE: 0.0630
Target Descriptor Name: MATS3i         , R2: 0.1403, MAE: 0.0831
Target Descriptor Name: PJI2           , R2: 0.0718, MAE: 0.0907
Target Descriptor Name: BIC4           , R2: 0.0514, MAE: 0.1031
Target Descriptor Name: CATS2D_02_AL   , R2: 0.5632, MAE: 0.0543
Target Descriptor Name: MATS8i         , R2: 0.4948, MAE: 0.0560
Target Descriptor Name: MATS3p         , R2: 0.2112, MAE: 0.0747
Target Descriptor Name: GATS7m         , R2: 0.0815, MAE: 0.0878
Target Descriptor Name: GATS6m         , R2: 0.0318, MAE: 0.0911
Target Descriptor Name: JGT            , R2: 0.0318, MAE: 0.0997
Target Descriptor Name: VE1sign_Dz(p)  , R2: 0.7470, MAE: 0.0210
Target Descriptor Name: MATS4e         , R2: 0.8514, MAE: 0.0305
Target Descriptor Name: N%             , R2: 0.7227, MAE: 0.0308
Target Descriptor Name: MATS1e         , R2: 0.6393, MAE: 0.0474
Target Descriptor Name: P_VSA_LogP_4   , R2: 0.3679, MAE: 0.0761
Target Descriptor Name: GATS2i         , R2: 0.1073, MAE: 0.0980
Target Descriptor Name: PW3            , R2: 0.7048, MAE: 0.0503
Target Descriptor Name: MATS4s         , R2: 0.6470, MAE: 0.0662
Target Descriptor Name: VE1_B(s)       , R2: 0.5273, MAE: 0.0941
Target Descriptor Name: P_VSA_LogP_3   , R2: 0.2548, MAE: 0.1278
Target Descriptor Name: MATS4i         , R2: 0.0976, MAE: 0.1539
Target Descriptor Name: MATS2s         , R2: 0.0963, MAE: 0.1156
Target Descriptor Name: JGI2           , R2: 0.8010, MAE: 0.0426
Target Descriptor Name: MATS6m         , R2: 0.7226, MAE: 0.0695
Target Descriptor Name: MATS7p         , R2: 0.7482, MAE: 0.0880
Target Descriptor Name: GATS8p         , R2: 0.5796, MAE: 0.1410
Target Descriptor Name: GATS8v         , R2: 0.3440, MAE: 0.1939
Target Descriptor Name: GATS4s         , R2: 0.0421, MAE: 0.2781
Target Descriptor Name: GATS5p         , R2: 0.6662, MAE: 0.0556
Target Descriptor Name: TI2_L          , R2: 0.3697, MAE: 0.0864
Target Descriptor Name: MATS6p         , R2: 0.0787, MAE: 0.1409
Target Descriptor Name: MATS5e         , R2: 0.7052, MAE: 0.0567
Target Descriptor Name: GATS4i         , R2: 0.5951, MAE: 0.0596
Target Descriptor Name: VE3sign_D/Dt   , R2: 0.3384, MAE: 0.0818
Target Descriptor Name: GATS3m         , R2: 0.7088, MAE: 0.0512
Target Descriptor Name: VE1sign_X      , R2: 0.7727, MAE: 0.0612
Target Descriptor Name: P_VSA_LogP_2   , R2: 0.7597, MAE: 0.1054
Target Descriptor Name: MAXDN          , R2: 0.6000, MAE: 0.1608
Target Descriptor Name: nBM            , R2: 0.1671, MAE: 0.2807
Target Descriptor Name: MATS8m         , R2: 0.0560, MAE: 0.3257
Target Descriptor Name: MATS1s         , R2: 0.8009, MAE: 0.0054
Target Descriptor Name: GATS4p         , R2: 0.8982, MAE: 0.0195
Target Descriptor Name: GATS1e         , R2: 0.6117, MAE: 7.5470
Target Descriptor Name: D/Dtr05        , R2: 0.7329, MAE: 14.3065
Target Descriptor Name: MATS3m         , R2: 0.5460, MAE: 18.6179
Target Descriptor Name: BLI            , R2: 0.5410, MAE: 11.6992
Target Descriptor Name: P_VSA_MR_7     , R2: 0.6865, MAE: 11.4455
Target Descriptor Name: GATS7s         , R2: 0.7660, MAE: 0.0211
Target Descriptor Name: MATS6i         , R2: 0.6752, MAE: 2.2811
Target Descriptor Name: MATS5p         , R2: 0.4928, MAE: 1.7107
Target Descriptor Name: MATS7m         , R2: 0.6891, MAE: 0.6721
################################################################################
Testing ################################################################################
Target Descriptor Name: MW             , R2: 0.5723, MAE: 45.0458
Target Descriptor Name: AMW            , R2: 0.9233, MAE: 0.2049
Target Descriptor Name: VE1sign_B(s)   , R2: 0.9508, MAE: 0.0071
Traceback (most recent call last):
Target Descriptor Name: IC1            , R2: 0.9259, MAE: 0.0034
Target Descriptor Name: GATS4e         , R2: 0.9271, MAE: 0.0072
Target Descriptor Name: RBF            , R2: 0.8487, MAE: 0.0037
Target Descriptor Name: GATS3e         , R2: 0.7906, MAE: 1.9492
Target Descriptor Name: Eta_sh_y       , R2: 0.8256, MAE: 0.0125
Target Descriptor Name: Mp             , R2: 0.6980, MAE: 1.4612
Target Descriptor Name: GATS5i         , R2: 0.8296, MAE: 1.0911
Target Descriptor Name: IC2            , R2: 0.3879, MAE: 36.8391
Target Descriptor Name: MATS7e         , R2: 0.8887, MAE: 0.0236
Target Descriptor Name: Mi             , R2: 0.0526, MAE: 0.0723
Target Descriptor Name: Mv             , R2: 0.8976, MAE: 0.0037
Target Descriptor Name: Me             , R2: 0.8522, MAE: 0.0054
Target Descriptor Name: SssO           , R2: 0.9191, MAE: 0.2827
Target Descriptor Name: VE3sign_B(s)   , R2: 0.7808, MAE: 0.1200
Target Descriptor Name: MATS5i         , R2: 0.7144, MAE: 0.1629
Target Descriptor Name: GATS3s         , R2: 0.7207, MAE: 0.0238
  File "/home/xduan7/Projects/MoReL/task/graph_to_dscrptr.py", line 244, in <module>
Target Descriptor Name: MATS7i         , R2: 0.7119, MAE: 0.0221
Target Descriptor Name: MATS3e         , R2: 0.5564, MAE: 0.0192
Target Descriptor Name: GATS5m         , R2: 0.1876, MAE: 0.0697
Target Descriptor Name: MATS5m         , R2: 0.1094, MAE: 0.9437
Target Descriptor Name: PW2            , R2: 0.5307, MAE: 0.6858
Target Descriptor Name: GATS6e         , R2: 0.8515, MAE: 0.0027
Target Descriptor Name: MATS4m         , R2: 0.3089, MAE: 0.0787
Target Descriptor Name: MATS6s         , R2: 0.1258, MAE: 0.0807
    if best_val_r2 is None or val_r2 > best_val_r2:
NameError: name 'lr' is not defined
Target Descriptor Name: GATS1s         , R2: 0.1396, MAE: 1.0519
Target Descriptor Name: SpPosA_X       , R2: 0.1789, MAE: 0.1101
Target Descriptor Name: GATS5s         , R2: 0.0773, MAE: 1.0751
Target Descriptor Name: P_VSA_MR_5     , R2: 0.1639, MAE: 0.1272
Target Descriptor Name: VE1sign_D/Dt   , R2: 0.3583, MAE: 0.2756
Target Descriptor Name: ALOGP          , R2: 0.3794, MAE: 0.0372
Target Descriptor Name: BIC2           , R2: 0.3129, MAE: 0.9419
Target Descriptor Name: MATS3v         , R2: 0.8233, MAE: 0.0288
Target Descriptor Name: VE1sign_D      , R2: 0.7732, MAE: 0.0378
Target Descriptor Name: MATS5s         , R2: 0.5894, MAE: 0.0559
Target Descriptor Name: MATS3s         , R2: 0.2163, MAE: 0.0872
Target Descriptor Name: VE1sign_Dt     , R2: 0.1466, MAE: 0.1007
Target Descriptor Name: VE3sign_D      , R2: 0.0518, MAE: 0.1206
Target Descriptor Name: MATS2e         , R2: 0.8384, MAE: 0.0274
Target Descriptor Name: SIC2           , R2: 0.7277, MAE: 0.0290
Target Descriptor Name: GATS8s         , R2: 0.8356, MAE: 0.0402
Target Descriptor Name: MATS4p         , R2: 0.7162, MAE: 0.0378
Target Descriptor Name: GATS8e         , R2: 0.6134, MAE: 0.0562
Target Descriptor Name: VE3sign_Dt     , R2: 0.3217, MAE: 0.0839
Target Descriptor Name: GATS4m         , R2: 0.1375, MAE: 0.1132
Target Descriptor Name: O%             , R2: 0.7817, MAE: 0.0327
Target Descriptor Name: MATS8p         , R2: 0.7364, MAE: 0.0384
Target Descriptor Name: GATS5e         , R2: 0.3906, MAE: 0.0627
Target Descriptor Name: MATS3i         , R2: 0.1464, MAE: 0.0833
Target Descriptor Name: PJI2           , R2: 0.0690, MAE: 0.0900
Target Descriptor Name: BIC4           , R2: 0.0477, MAE: 0.1029
Target Descriptor Name: CATS2D_02_AL   , R2: 0.5807, MAE: 0.0531
Target Descriptor Name: MATS8i         , R2: 0.4895, MAE: 0.0563
Target Descriptor Name: MATS3p         , R2: 0.2124, MAE: 0.0752
Target Descriptor Name: GATS7m         , R2: 0.0867, MAE: 0.0878
Target Descriptor Name: GATS6m         , R2: 0.0311, MAE: 0.0913
Target Descriptor Name: JGT            , R2: 0.0294, MAE: 0.0988
Target Descriptor Name: VE1sign_Dz(p)  , R2: 0.7552, MAE: 0.0206
Target Descriptor Name: MATS4e         , R2: 0.8558, MAE: 0.0305
Target Descriptor Name: N%             , R2: 0.7363, MAE: 0.0302
Target Descriptor Name: MATS1e         , R2: 0.6372, MAE: 0.0476
Target Descriptor Name: P_VSA_LogP_4   , R2: 0.3642, MAE: 0.0769
Target Descriptor Name: GATS2i         , R2: 0.1053, MAE: 0.0991
Target Descriptor Name: PW3            , R2: 0.7065, MAE: 0.0492
Target Descriptor Name: MATS4s         , R2: 0.6604, MAE: 0.0641
Target Descriptor Name: VE1_B(s)       , R2: 0.5215, MAE: 0.0925
Target Descriptor Name: P_VSA_LogP_3   , R2: 0.2473, MAE: 0.1301
Target Descriptor Name: MATS4i         , R2: 0.1223, MAE: 0.1476
Target Descriptor Name: MATS2s         , R2: 0.0896, MAE: 0.1157
Target Descriptor Name: JGI2           , R2: 0.8043, MAE: 0.0417
Target Descriptor Name: MATS6m         , R2: 0.7236, MAE: 0.0695
Target Descriptor Name: MATS7p         , R2: 0.7474, MAE: 0.0890
Target Descriptor Name: GATS8p         , R2: 0.5923, MAE: 0.1390
Target Descriptor Name: GATS8v         , R2: 0.3405, MAE: 0.1951
Target Descriptor Name: GATS4s         , R2: 0.0461, MAE: 0.2717
Target Descriptor Name: GATS5p         , R2: 0.6876, MAE: 0.0540
Target Descriptor Name: TI2_L          , R2: 0.3653, MAE: 0.0854
Target Descriptor Name: MATS6p         , R2: 0.0759, MAE: 0.1400
Target Descriptor Name: MATS5e         , R2: 0.7142, MAE: 0.0560
Target Descriptor Name: GATS4i         , R2: 0.5994, MAE: 0.0595
Target Descriptor Name: VE3sign_D/Dt   , R2: 0.3371, MAE: 0.0816
Target Descriptor Name: GATS3m         , R2: 0.7083, MAE: 0.0509
Target Descriptor Name: VE1sign_X      , R2: 0.7659, MAE: 0.0618
Target Descriptor Name: P_VSA_LogP_2   , R2: 0.7614, MAE: 0.1050
Target Descriptor Name: MAXDN          , R2: 0.6185, MAE: 0.1575
Target Descriptor Name: nBM            , R2: 0.2001, MAE: 0.2759
Target Descriptor Name: MATS8m         , R2: 0.0567, MAE: 0.3184
Target Descriptor Name: MATS1s         , R2: 0.7962, MAE: 0.0054
Target Descriptor Name: GATS4p         , R2: 0.9001, MAE: 0.0194
Target Descriptor Name: GATS1e         , R2: 0.6083, MAE: 7.5843
Target Descriptor Name: D/Dtr05        , R2: 0.7333, MAE: 14.5715
Target Descriptor Name: MATS3m         , R2: 0.5578, MAE: 18.4220
Target Descriptor Name: BLI            , R2: 0.5450, MAE: 11.6814
Target Descriptor Name: P_VSA_MR_7     , R2: 0.6881, MAE: 11.4692
Target Descriptor Name: GATS7s         , R2: 0.7688, MAE: 0.0211
Target Descriptor Name: MATS6i         , R2: 0.6815, MAE: 2.2453
Target Descriptor Name: MATS5p         , R2: 0.5014, MAE: 1.7243
Target Descriptor Name: MATS7m         , R2: 0.6934, MAE: 0.6860
################################################################################
